266,1-9318684874,AHMEDABAD,SHREE N M GOPANI POLYTECHNIC INSTITUTE
267,1-9318748759,RAJKOT,SANJAYBHAI RAJGURU COLLEGE OF ENGINEERING
268,1-9318768778,AHMEDABAD,GLS (SHAILESH R. PARIKH) INSTITUTE OF COMPUTER TECHNOLOGY
269,1-9318844140,VADODARA,KRISHNA SCHOOL OF EMERGING TECHNOLOGY AND APPLIED RESEARCH
270,1-9318558416,BHAVNAGAR,SHANTILAL SHAH PHARMACY COLLEGE
271,1-9318558678,GANDHINAGAR,F.D.(MUBIN) INSTITUTE OF ENGINEERING & TECHNOLOGY
272,1-9318669696,GANDHINAGAR,SHREE SWAMINARAYAN INSTITUTE OF TECHNOLOGY
273,1-9318749009,SURAT,THE MANDVI EDUCATION SOCIETY INSTITUTE OF  COMPUTER STUDIES
274,1-9318772459,BHAVNAGAR,BHAVNAGAR POLYTECHNIC INSTITUTE
275,1-9318847312,KHEDA,BALASINOR COLLEGE OF POLYTECHNIC
276,1-9318749865,NAVSARI,NARAN LALA SCHOOL OF INDUSTRIAL MANAGEMENT & COMPUTER SCIENCE
277,1-9318614688,SURAT,MAHAVIR SWAMI COLLEGE OF ENGINEERING & TECHNOLOGY
278,1-9318729339,PATAN,SMT. R.S PATEL INSTITUTE OF DIPLOMA ENGINEERING
279,1-9318729626,GANDHINAGAR,ALPHA COLLEGE OF ENGINEERING & TECHNOLOGY
280,1-9318730600,VADODARA,"FACULTY OF TECHNOLOGY & ENGINEERING, THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA"
281,1-9317635911,VADODARA,PARUL INSTITUTE OF PHARMACY AND RESEARCH
282,1-9317666755,VALSAD,"GOVERNMENT POLYTECHNIC, VALSAD"
283,1-9317804184,BANASKANTHA,GOVERNMENT ENGINEERING COLLEGE PALANPUR
284,1-9317776127,MEHSANA,S.P.B. PATEL ENGINEERING COLLEGE
285,1-9317930038,VADODARA,CENTER FOR ADVANCED STUDIES IN DESIGN AND RECONFIGURABLE COMPUTING
286,1-9317875718,THE DANGS,"GOVERNMENT POLYTECHNIC WAGHAI,DIST-DANG"
287,1-9317892006,KHEDA,D A DEGREE ENGINEERING AND TECHNOLOGY
288,1-9317892176,PANCHMAHAL,OM INSTITUTE OF TECHNOLOGY
289,1-9317876476,PATAN,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY
290,1-9317892847,GANDHINAGAR,UDAYBHANSINHJI REGIONAL INSTITUTE OF CO-OPERATIVE MANAGEMENT
291,1-9317876920,AHMEDABAD,L. D. COLLEGE OF ENGINEERING
